"대분류","중분류","소분류","기능","설명","작업상태","우선순위","전제조건","인수조건"
"시뮬레이션","검증","CoT","응답 CoT(Chain of Thought) 조회 API","응답 ID로 해당 페르소나의 사고 과정 단계 배열과 일관성 지수를 반환한다.","미착수","P0","페르소나별 응답 생성 API","1) CoT 단계 배열 순서 보장 2) Integrity Score % 포함 3) 응답 메타 정보 포함"
"리포트","생성","자동생성","분석 결과 기반 리포트 자동 생성 API","시뮬레이션 결과 데이터를 바탕으로 LLM이 섹션별 리포트 초안을 생성한다.","미착수","P0","시뮬레이션 완료 상태 + LLM 연동","1) 섹션(개요/인사이트/차트/권장사항) 구조 생성 2) 생성 완료 후 리포트 ID 반환 3) 비동기 처리"
"리포트","조회","단건","리포트 단건 조회 API","리포트 ID로 섹션별 콘텐츠, KPI 카드, 차트 데이터를 반환한다.","미착수","P0","리포트 자동 생성 API","1) 섹션 내비 인덱스 포함 2) 차트 데이터 포맷 통일 3) 존재하지 않는 ID 404"
"리포트","조회","목록","리포트 아카이브 목록 API","프로젝트 내 생성된 리포트를 최신순으로 목록 반환한다. 제목/유형/포맷/크기/생성일 포함","미착수","P1","리포트 단건 조회 API","1) 페이지네이션 지원 2) 검색 키워드 파라미터 지원 3) 필터(유형/포맷) 지원"
"리포트","다운로드","변환","리포트 파일 변환 및 다운로드 API","PDF/DOCX/PPTX 포맷으로 리포트를 변환하고 다운로드 URL을 반환한다.","미착수","P1","리포트 단건 조회 API + 파일 변환 모듈","1) 포맷별 변환 성공 2) 변환 실패 시 500 + 상세 메시지 3) 임시 URL 만료 처리"
"AI어시스턴트","챗봇","대화","전역 AI 챗봇 대화 API","사용자 메시지를 받아 LLM 기반으로 답변과 근거(evidence)/신뢰도(confidence)를 반환한다.","미착수","P0","LLM 연동","1) 답변 텍스트 반환 2) evidence key-value 배열 포함 3) confidence 0~100 포함"
"AI어시스턴트","챗봇","이력","챗봇 대화 이력 저장/조회 API","대화 세션별 메시지 이력을 저장하고 재진입 시 복원한다.","미착수","P2","전역 AI 챗봇 대화 API","1) 세션 ID 기반 이력 조회 2) 최근 N건 반환 3) 세션 만료 처리"
"설정","AI엔진","프롬프트","시스템 프롬프트 저장/조회 API","시뮬레이션/설문/챗봇에 적용할 시스템 프롬프트를 저장하고 조회한다.","미착수","P0","설정 테이블 설계","1) 프롬프트 유형별 구분 저장 2) 초기화 시 기본값 복원 3) 저장 후 즉시 적용"
"설정","AI엔진","파라미터","LLM 파라미터 저장/조회 API","Temperature/Top-P 등 모델 파라미터를 저장하고 LLM 호출 시 적용한다.","미착수","P1","설정 테이블 설계","1) 파라미터 범위 검증 2) 저장 후 즉시 반영 3) 기본값 fallback 처리"
"설정","사용자관리","CRUD","사용자 계정 관리 API","관리자가 사용자를 생성/조회/수정/삭제하고 역할을 부여한다.","미착수","P2","RBAC 설계 완료","1) 사용자 목록 조회 2) 역할 변경 반영 3) 자기 자신 삭제 방지"
"설정","데이터소스","연결","외부 데이터 소스 커넥터 등록 API","분석에 활용할 외부 데이터 소스(DB/API) 연결 정보를 등록하고 연결 상태를 검증한다.","미착수","P2","데이터소스 스키마 정의","1) 연결 테스트 성공 여부 반환 2) 자격증명 암호화 저장 3) 연결 실패 상세 에러 반환"
"공통","인프라","로깅","API 요청/응답 로깅","모든 API 요청과 응답을 구조화된 로그로 기록한다.","미착수","P1","로깅 미들웨어 구성","1) 요청 시각/경로/상태코드/소요시간 기록 2) 민감정보 마스킹 3) 로그 레벨 설정 가능"
"공통","인프라","에러처리","공통 에러 응답 포맷 정의","모든 API 에러를 code/message/detail 구조로 일관 반환한다.","미착수","P0","API 라우터 구성","1) HTTP 상태코드 표준 준수 2) 프론트 toast/모달 연동 가능한 code 체계 3) 스택트레이스 프로덕션 미노출"
"공통","인프라","헬스체크","헬스체크 엔드포인트","서버 상태와 DB/LLM 연결 상태를 반환한다.","미착수","P1","서버 기동 구성","1) GET /health 응답 200 2) DB 연결 상태 포함 3) LLM API 연결 상태 포함"
